1	54167	122766300
2	23336	53624900
3	14493	30648600
4	10091	23163900
5	7885	18471000
6	6359	13752700
7	5110	11792800
8	4533	10540900
9	3808	7614300
10	3354	7789200
11	3090	7255900
12	2640	5417100
13	2446	4874900
14	2260	5320500
15	2111	4668900
16	1923	4240200
17	1791	4637900
18	1738	4041700
19	1582	3381700
20	1492	3254300
22	1326	3246800
23	1299	2958800
21	1270	2804000
24	1208	2711700
25	1124	2410000
26	1085	2721500
27	1040	2817300
28	970	2185500
29	963	2399500
30	957	1860300
31	885	1804100
32	830	1619200
33	813	1581200
34	768	1969900
35	746	1429400
37	716	1408500
36	708	1328700
38	700	1537600
39	671	1707100
40	671	1737400
41	615	1505800
44	587	1630200
42	583	1248600
47	567	930300
50	559	1485500
43	551	1236500
45	550	1151800
46	539	1202100
49	500	1132500
48	497	1162000
51	484	1128700
54	456	1206400
53	448	954200
52	438	1272900
61	437	751200
56	431	858800
59	426	1146200
55	422	823800
57	420	915100
63	390	686700
58	384	981500
64	378	965700
62	377	679100
65	377	920100
60	374	763400
66	369	1195100
68	360	755800
69	342	783100
70	332	636400
67	325	651800
77	317	513000
74	312	854100
71	310	972400
72	301	730200
76	300	804000
75	299	585500
79	298	740800
81	284	577800
80	282	567300
82	282	477100
73	277	773600
91	275	530800
78	271	779600
88	270	635600
83	269	559900
90	262	701500
85	258	812500
89	254	554700
84	248	525000
86	245	420300
96	245	422300
87	239	681100
93	234	439800
95	229	607200
99	228	743500
92	226	388100
97	226	543700
94	224	479200
104	224	652100
101	220	294700
105	212	513200
103	210	740100
110	207	304500
114	205	548800
111	203	503900
107	201	465600
100	198	410500
98	194	263000
102	194	562200
106	194	440200
115	192	189500
112	191	463600
109	184	337300
122	184	458700
108	183	448100
113	181	342200
123	181	587800
117	169	314200
119	169	449000
130	169	346000
128	168	391200
135	165	263000
120	164	425600
116	163	309700
129	162	361800
131	161	319700
136	157	349800
118	156	343400
127	156	413300
121	155	643100
132	155	354700
126	154	236500
125	153	369200
138	152	225900
124	151	324700
134	151	216700
154	151	447500
142	150	214900
141	149	375200
140	148	395800
146	147	269400
139	143	249400
152	143	605300
147	141	475100
156	139	543100
148	137	540000
160	135	255000
144	133	399100
149	132	502900
163	132	238500
150	130	403400
155	130	250400
151	127	203500
143	126	320400
153	124	222800
167	124	127200
145	123	344600
159	122	387600
137	121	222500
186	121	271600
192	121	288800
161	119	217200
173	119	186600
169	116	400700
158	115	214100
133	114	308700
162	114	104200
165	114	377000
168	111	94900
171	111	212400
175	110	262400
176	110	158100
157	109	383300
172	109	343400
164	108	361400
174	108	127200
180	108	445000
203	108	219900
206	108	165100
183	106	58100
182	105	303200
184	105	431600
170	104	311800
177	104	176000
202	104	238000
179	103	186400
187	103	109200
217	102	245400
204	101	298600
213	101	348700
189	100	186200
178	99	298400
194	99	182300
208	98	257700
181	97	105800
185	97	158300
193	97	137100
224	97	139400
201	96	160000
211	96	175000
188	94	217200
250	94	184700
166	93	299800
190	93	174900
198	93	188800
197	92	229500
195	91	375900
212	91	116100
237	91	75600
200	90	267500
205	90	83800
219	90	225800
233	90	149700
191	89	219300
207	89	308300
215	88	164700
214	87	149900
196	86	79800
210	86	89800
209	85	152800
218	85	163300
226	85	262600
243	85	261600
222	84	194100
265	84	190800
199	83	282600
228	83	190300
282	81	86700
225	80	200500
231	80	118100
244	80	107200
286	80	130100
238	79	187700
242	79	213500
220	78	157800
232	78	143200
240	78	90900
223	77	172700
234	77	196200
255	77	139900
216	76	134300
229	76	95200
271	76	149600
241	75	201400
262	75	103300
239	74	99100
246	74	109400
259	74	225100
227	73	248900
260	73	192900
247	72	248300
258	72	231600
263	72	130500
291	72	236200
245	71	227100
280	71	38700
290	71	139200
236	70	172800
251	70	289900
279	70	168600
248	68	126500
249	68	128400
235	67	74500
272	67	78000
287	67	91200
256	66	36200
270	66	159600
292	66	154400
310	66	150700
332	66	75100
264	65	215300
275	65	49200
300	65	145500
308	65	58600
345	65	191100
230	64	109600
269	64	120800
273	64	34200
293	64	84100
296	64	89800
252	63	185000
261	63	59000
268	63	60600
274	63	72700
303	63	101400
267	62	154900
278	62	85400
281	62	99300
324	62	101900
344	61	67800
221	60	104300
257	60	195400
314	59	168000
319	59	123600
343	59	126100
266	58	208600
294	58	134400
311	58	197800
326	58	142800
295	57	86800
301	57	31300
320	57	240800
325	57	55000
372	57	184600
384	57	329600
254	56	119800
284	56	94900
346	56	31500
363	56	196300
289	55	148300
297	55	28300
299	55	105000
307	55	71600
317	55	110700
323	55	71700
334	55	90500
349	55	58900
352	55	59700
364	55	44400
373	55	100100
288	54	184500
302	54	129300
312	54	115000
322	54	111800
369	54	52200
276	53	179900
277	53	153100
298	53	226700
333	53	64800
383	53	87900
285	52	146600
306	52	61900
315	52	129700
336	52	113800
253	51	146900
283	51	126000
