ts,hit_rate,young_per_1k,not_young_per_1k,pages_made_young_rate,old_pages,total_pages,reads_from_disk_rate
1785273675.6,895,0,111,0.0,9051,24573,130.1880294577212
1785273676.6,1000,0,0,0.0,9051,24573,0.0
1785273677.6,1000,0,0,0.0,9051,24573,0.0
1785273678.6,1000,0,0,0.0,9051,24573,0.0
1785273679.6,1000,0,0,0.0,9051,24573,0.0
1785273680.6,1000,0,0,0.0,9051,24573,0.0
1785273681.6,1000,0,0,0.0,9051,24573,0.0
1785273682.6,1000,0,0,0.0,9051,24573,0.0
1785273683.6,1000,0,0,0.0,9051,24573,0.0
1785273684.6,1000,0,0,0.0,9051,24573,0.0
1785273685.6,1000,0,0,0.0,9051,24573,0.0
1785273686.6,1000,0,0,0.0,9051,24573,0.0
1785273687.6,1000,0,0,0.0,9051,24573,0.0
1785273688.6,1000,0,0,0.0,9051,24573,0.0
1785273689.6,1000,0,0,0.0,9051,24573,0.0
1785273690.6,1000,0,0,0.0,9051,24573,0.0
1785273691.6,1000,0,0,0.0,9051,24573,0.0
1785273692.6,1000,0,0,0.0,9051,24573,0.0
1785273693.6,1000,0,0,0.0,9051,24573,0.0
1785273694.6,1000,0,0,0.0,9051,24573,0.0
1785273695.6,1000,0,0,0.0,9051,24573,0.0
1785273696.7,1000,0,0,0.0,9051,24573,0.0
1785273697.7,1000,0,0,0.0,9051,24573,0.0
1785273698.7,1000,0,0,0.0,9051,24573,0.0
1785273699.7,1000,0,0,0.0,9051,24573,0.0
1785273700.7,1000,0,0,0.0,9051,24573,0.0
1785273701.7,1000,0,0,0.0,9051,24573,0.0
1785273702.7,1000,0,0,0.0,9051,24573,0.0
1785273703.7,1000,0,0,0.0,9051,24573,0.0
1785273704.7,1000,0,0,0.0,9051,24573,0.0
1785273705.7,1000,0,0,0.0,9051,24573,0.0
1785273706.7,1000,0,0,0.0,9051,24573,0.0
1785273707.7,1000,0,0,0.0,9051,24573,0.0
1785273708.7,1000,0,0,0.0,9051,24573,0.0
1785273709.7,1000,0,0,0.0,9051,24573,0.0
1785273710.7,1000,0,0,0.0,9051,24573,0.0
1785273711.7,1000,0,0,0.0,9051,24573,0.0
1785273712.7,1000,0,0,0.0,9051,24573,0.0
1785273713.7,1000,0,0,0.0,9051,24573,0.0
1785273714.7,1000,0,0,0.0,9051,24573,0.0
1785273715.7,1000,0,0,0.0,9051,24573,0.0
1785273716.7,1000,0,0,0.0,9051,24573,0.0
1785273717.7,1000,0,0,0.0,9051,24573,0.0
1785273718.7,1000,0,0,0.0,9051,24573,0.0
1785273719.7,1000,0,0,0.0,9051,24573,0.0
1785273720.7,1000,0,0,0.0,9051,24573,0.0
1785273721.7,1000,0,0,0.0,9051,24573,0.0
1785273722.7,1000,0,0,0.0,9051,24573,0.0
1785273723.7,1000,0,0,0.0,9051,24573,0.0
1785273724.7,1000,0,0,0.0,9051,24573,0.0
1785273725.8,1000,0,0,0.0,9051,24573,0.0
1785273726.8,1000,0,0,0.0,9051,24573,0.0
1785273727.8,1000,0,0,0.0,9051,24573,0.0
1785273728.8,1000,0,0,0.0,9051,24573,0.0
1785273729.8,1000,0,0,0.0,9051,24573,0.0
1785273730.8,1000,0,0,0.0,9051,24573,0.0
1785273731.8,1000,0,0,0.0,9051,24573,0.0
1785273732.8,1000,0,0,0.0,9051,24573,0.0
1785273733.8,1000,0,0,0.0,9051,24573,0.0
1785273734.8,1000,0,0,0.0,9051,24573,0.0
1785273735.8,1000,0,0,0.0,9051,24573,0.0
1785273736.8,1000,0,0,0.0,9051,24573,0.0
1785273737.8,1000,0,0,0.0,9051,24573,0.0
1785273738.8,1000,0,0,0.0,9051,24573,0.0
1785273739.8,1000,0,0,0.0,9051,24573,0.0
1785273740.8,1000,0,0,0.0,9051,24573,0.0
1785273741.8,1000,0,0,0.0,9051,24573,0.0
1785273742.8,1000,0,0,0.0,9051,24573,0.0
1785273743.8,1000,0,0,0.0,9051,24573,0.0
1785273744.8,1000,0,0,0.0,9051,24573,0.0
1785273745.8,1000,0,0,0.0,9051,24573,0.0
1785273746.8,1000,0,0,0.0,9051,24573,0.0
1785273747.8,1000,0,0,0.0,9051,24573,0.0
1785273748.8,1000,0,0,0.0,9051,24573,0.0
1785273749.8,1000,0,0,0.0,9051,24573,0.0
1785273750.8,1000,0,0,0.0,9051,24573,0.0
1785273751.8,1000,0,0,0.0,9051,24573,0.0
1785273752.8,1000,0,0,0.0,9051,24573,0.0
1785273753.8,1000,0,0,0.0,9051,24573,0.0
1785273754.8,1000,0,0,0.0,9051,24573,0.0
1785273755.9,1000,0,0,0.0,9051,24573,0.0
1785273756.9,1000,0,0,0.0,9051,24573,0.0
1785273757.9,1000,0,0,0.0,9051,24573,0.0
1785273758.9,1000,0,0,0.0,9051,24573,0.0
1785273759.9,1000,0,0,0.0,9051,24573,0.0
1785273760.9,1000,0,0,0.0,9051,24573,0.0
1785273761.9,1000,0,0,0.0,9051,24573,0.0
1785273762.9,1000,0,0,0.0,9051,24573,0.0
1785273763.9,1000,0,0,0.0,9051,24573,0.0
1785273764.9,1000,0,0,0.0,9051,24573,0.0
1785273765.9,1000,0,0,0.0,9051,24573,0.0
1785273766.9,1000,0,0,0.0,9051,24573,0.0
1785273767.9,1000,0,0,0.0,9051,24573,0.0
1785273768.9,1000,0,0,0.0,9051,24573,0.0
1785273769.9,1000,0,0,0.0,9051,24573,0.0
1785273770.9,1000,0,0,0.0,9051,24573,0.0
1785273771.9,1000,0,0,0.0,9051,24573,0.0
1785273772.9,1000,0,0,0.0,9051,24573,0.0
1785273773.9,1000,0,0,0.0,9051,24573,0.0
1785273774.9,1000,0,0,0.0,9051,24573,0.0
1785273775.9,1000,0,0,0.0,9051,24573,0.0
1785273776.9,1000,0,0,0.0,9051,24573,0.0
1785273777.9,1000,0,0,0.0,9051,24573,0.0
1785273778.9,1000,0,0,0.0,9051,24573,0.0
1785273779.9,1000,0,0,0.0,9051,24573,0.0
1785273780.9,1000,0,0,0.0,9051,24573,0.0
1785273781.9,1000,0,0,0.0,9051,24573,0.0
1785273782.9,1000,0,0,0.0,9051,24573,0.0
1785273784.0,1000,0,0,0.0,9051,24573,0.0
1785273785.0,1000,0,0,0.0,9051,24573,0.0
1785273786.0,1000,0,0,0.0,9051,24573,0.0
1785273787.0,1000,0,0,0.0,9051,24573,0.0
1785273788.0,1000,0,0,0.0,9051,24573,0.0
1785273789.0,1000,0,0,0.0,9051,24573,0.0
1785273790.0,1000,0,0,0.0,9051,24573,0.0
1785273791.0,1000,0,0,0.0,9051,24573,0.0
1785273792.0,1000,0,0,0.0,9051,24573,0.0
1785273793.0,1000,0,0,0.0,9051,24573,0.0
1785273794.0,1000,0,0,0.0,9051,24573,0.0
1785273795.0,1000,0,0,0.0,9051,24573,0.0
1785273796.0,1000,0,0,0.0,9051,24573,0.0
1785273797.0,1000,0,0,0.0,9051,24573,0.0
1785273798.0,1000,0,0,0.0,9051,24573,0.0
1785273799.0,1000,0,0,0.0,9051,24573,0.0
1785273800.0,1000,0,0,0.0,9051,24573,0.0
1785273801.0,1000,0,0,0.0,9051,24573,0.0
1785273802.0,1000,0,0,0.0,9051,24573,0.0
1785273803.0,1000,0,0,0.0,9051,24573,0.0
1785273804.0,1000,0,0,0.0,9051,24573,0.0
1785273805.0,1000,0,0,0.0,9051,24573,0.0
1785273806.0,1000,0,0,0.0,9051,24573,0.0
1785273807.0,1000,0,0,0.0,9051,24573,0.0
1785273808.0,1000,0,0,0.0,9051,24573,0.0
1785273809.0,1000,0,0,0.0,9051,24573,0.0
1785273810.0,1000,0,0,0.0,9051,24573,0.0
1785273811.0,1000,0,0,0.0,9051,24573,0.0
1785273812.0,1000,0,0,0.0,9051,24573,0.0
1785273813.0,1000,0,0,0.0,9051,24573,0.0
1785273814.0,1000,0,0,0.0,9051,24573,0.0
1785273815.1,1000,0,0,0.0,9051,24573,0.0
1785273816.1,1000,0,0,0.0,9051,24573,0.0
1785273817.1,1000,0,0,0.0,9051,24573,0.0
1785273818.1,1000,0,0,0.0,9051,24573,0.0
1785273819.1,1000,0,0,0.0,9051,24573,0.0
1785273820.1,1000,0,0,0.0,9051,24573,0.0
1785273821.1,1000,0,0,0.0,9051,24573,0.0
1785273822.1,1000,0,0,0.0,9051,24573,0.0
1785273823.1,1000,0,0,0.0,9051,24573,0.0
1785273824.1,1000,0,0,0.0,9051,24573,0.0
1785273825.1,1000,0,0,0.0,9051,24573,0.0
1785273826.1,1000,0,0,0.0,9051,24573,0.0
1785273827.1,1000,0,0,0.0,9051,24573,0.0
